Sample,Power (W),Speed (mm/s),Hatch (mm),Layer (mm),Laser Focus (mm),Double Shot?,Scan Statagy,Fail?,Sent to,file name,Repeat of sample
129,22,500,0.025,0.15,-2,Y,Bilateral,N,Saniya,Repeat 61-75_001,69
130,24,500,0.025,0.15,-2,Y,Bilateral,N,Saniya,Repeat 61-75_001,70
131,16,500,0.0375,0.15,-2,Y,Bilateral,N,Saniya,Repeat 61-75_001,71
132,18,500,0.0375,0.15,-2,Y,Bilateral,N,Saniya,Repeat 61-75_001,72
133,20,500,0.0375,0.15,-2,Y,Bilateral,N,Saniya,Repeat 61-75_001,73
134,22,500,0.0375,0.15,-2,Y,Bilateral,N,Saniya,Repeat 61-75_001,74
135,24,500,0.0375,0.15,-2,Y,Bilateral,N,Saniya,Repeat 61-75_001,75
136,10,500,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 91-105_001,91
137,12,500,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 91-105_001,92
138,14,500,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 91-105_001,93
139,16,500,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 91-105_001,94
140,18,500,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 91-105_001,95
141,10,500,0.025,0.15,-2,Y,Bilateral,N,Saniya,Repeat 91-105_001,96
142,12,500,0.025,0.15,-2,Y,Bilateral,N,Saniya,Repeat 91-105_001,97
143,14,500,0.025,0.15,-2,Y,Bilateral,N,Saniya,Repeat 91-105_001,98
144,16,500,0.025,0.15,-2,Y,Bilateral,N,Saniya,Repeat 91-105_001,99
145,18,500,0.025,0.15,-2,Y,Bilateral,N,Saniya,Repeat 91-105_001,100
146,10,500,0.0375,0.15,-2,Y,Bilateral,N,Saniya,Repeat 91-105_001,101
147,12,500,0.0375,0.15,-2,Y,Bilateral,N,Saniya,Repeat 91-105_001,102
148,14,500,0.0375,0.15,-2,Y,Bilateral,N,Saniya,Repeat 91-105_001,103
149,16,500,0.0375,0.15,-2,Y,Bilateral,N,Saniya,Repeat 91-105_001,104
150,18,500,0.0375,0.15,-2,Y,Bilateral,N,Saniya,Repeat 91-105_001,105
151,10,700,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 106-120_001,106
152,12,700,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 106-120_001,107
153,14,700,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 106-120_001,108
154,16,700,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 106-120_001,109
155,18,700,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 106-120_001,110
156,10,700,0.025,0.15,-2,Y,Bilateral,N,Saniya,Repeat 106-120_001,111
157,12,700,0.025,0.15,-2,Y,Bilateral,N,Saniya,Repeat 106-120_001,112
158,14,700,0.025,0.15,-2,Y,Bilateral,N,Saniya,Repeat 106-120_001,113
159,16,700,0.025,0.15,-2,Y,Bilateral,N,Saniya,Repeat 106-120_001,114
160,18,700,0.025,0.15,-2,Y,Bilateral,N,Saniya,Repeat 106-120_001,115
161,10,700,0.0375,0.15,-2,Y,Bilateral,N,Saniya,Repeat 106-120_001,116
162,12,700,0.0375,0.15,-2,Y,Bilateral,N,Saniya,Repeat 106-120_001,117
163,14,700,0.0375,0.15,-2,Y,Bilateral,N,Saniya,Repeat 106-120_001,118
164,16,700,0.0375,0.15,-2,Y,Bilateral,N,Saniya,Repeat 106-120_001,119
165,18,700,0.0375,0.15,-2,Y,Bilateral,N,Saniya,Repeat 106-120_001,120
166,10,500,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 3 set _001-2,91
167,12,500,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 3 set _001-2,92
168,14,500,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 3 set _001-2,93
169,16,500,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 3 set _001-2,94
170,18,500,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 3 set _001-2,95
171,16,500,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 3 set _001-2,61
172,18,500,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 3 set _001-2,62
173,20,500,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 3 set _001-2,63
174,22,500,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 3 set _001-2,64
175,24,500,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 3 set _001-2,65
176,10,700,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 3 set _001-2,106
177,12,700,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 3 set _001-2,107
178,14,700,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 3 set _001-2,108
179,16,700,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 3 set _001-2,109
180,18,700,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 3 set _001-2,110
181,10,500,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 3 set _003,91
182,12,500,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 3 set _003,92
183,16,500,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 3 set _003,94
184,18,500,0.01,0.15,-2,Y,Bilateral,Y,Saniya,Repeat 3 set _003,95
185,22,500,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 3 set _003,64
186,24,500,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 3 set _003,65
187,10,700,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 3 set _003,106
188,16,700,0.01,0.15,-2,Y,Bilateral,N,Saniya,Repeat 3 set _003,109
